,Country,Year,Annual percentage change in coal consumption,"Annual change in coal consumption, measured in terawatt-hours","Per capita primary energy consumption from coal, measured in kilowatt-hours","Primary energy consumption from coal, measured in terawatt-hours","Per capita electricity generation from coal, measured in kilowatt-hours","Electricity generation from coal, measured in terawatt-hours	",Annual percentage change in coal production,"Annual change in coal production, measured in terawatt-hours","Per capita coal production, measured in kilowatt-hours","Coal production, measured in terawatt-hours",Share of electricity generation that comes from coal,Share of primary energy consumption that comes from coal
103,Japan,1987,2.049,16.251,6576.001,809.326,872.112,107.333,-18.488,-19.264,690.091,84.931,14.926,17.681
104,Ukraine,1987,-0.909,-8.911,18974.51,971.873,2326.633,119.17,-1.111,-12.333,21435.229,1097.911,42.334,34.071
105,United Kingdom,1987,2.446,19.317,14280.133,809.087,3705.091,209.924,-3.664,-27.947,12970.537,734.888,69.485,32.984
106,Turkey,1988,-3.318,-5.35,2994.76,155.889,239.879,12.487,-9.222,-13.095,2476.234,128.897,25.987,29.559
107,Oceania,1988,5.282,21.419,16150.242,426.93,4009.777,105.998,-1.536,-18.555,45002.559,1189.638,60.758,37.475
108,Taiwan,1988,15.89,16.719,6083.812,121.934,1187.15,23.793,-18.259,-2.178,486.399,9.749,31.2,23.584
109,Vietnam,1988,-6.328,-2.535,576.317,37.53,52.825,3.44,-3.175,-1.303,610.075,39.728,50.7,49.896
110,Upper-middle-income countries,1988,4.521,441.202,5269.621,10200.986,395.355,765.332,4.044,409.604,5444.067,10538.683,29.325,38.505
111,Brazil,1988,2.196,2.713,879.134,126.268,32.826,4.715,8.935,3.508,297.807,42.773,2.193,8.301
112,High-income countries,1988,2.332,293.268,13005.3,12868.479,2800.305,2770.845,1.369,164.528,12315.238,12185.677,38.114,23.706
113,Ukraine,1988,-5.685,-55.247,17854.586,916.626,2235.182,114.751,-0.571,-6.264,21263.746,1091.646,38.611,32.102
114,United Kingdom,1988,-2.928,-23.69,13824.312,785.397,3579.724,203.374,0.18,1.326,12958.603,736.214,65.854,31.597
115,Africa,1988,7.466,61.841,1491.434,890.161,255.423,152.449,2.775,34.156,2119.349,1264.931,51.626,35.254
116,Europe,1988,-1.863,-177.013,13011.879,9326.825,1830.804,1312.308,0.008,0.652,12082.122,8660.382,31.357,26.524
117,North America,1988,4.731,253.919,13498.585,5620.673,4218.246,1756.435,3.694,222.922,15029.942,6258.314,49.107,21.062
118,Canada,1988,7.387,22.934,12438.15,333.419,3423.024,91.758,15.801,61.183,16727.055,448.388,18.133,10.766
119,Thailand,1988,3.032,0.792,490.171,26.906,123.872,6.799,6.266,1.414,436.808,23.977,20.978,10.34
120,Poland,1988,-2.753,-33.971,31831.721,1199.972,3666.293,138.21,-0.015,-0.216,39159.008,1476.191,95.753,78.588
121,United States,1988,4.653,233.276,21211.527,5247.144,6696.854,1656.616,2.962,166.086,23340.215,5773.722,56.842,23.835
122,Russia,1988,-1.476,-35.462,16211.528,2367.102,1037.582,151.501,3.213,72.403,15926.574,2325.495,14.219,23.166
123,European Union (27),1988,-1.302,-65.66,11935.739,4978.217,1906.754,795.279,-1.315,-57.325,10316.061,4302.673,36.19,28.399
124,China,1988,7.427,398.982,5072.603,5771.224,328.421,373.653,5.581,301.217,5008.348,5698.119,68.534,77.289
125,Germany,1988,-1.177,-19.236,20616.096,1614.395,3963.668,310.385,-0.771,-12.467,20478.223,1603.599,56.486,37.494
126,Kazakhstan,1988,4.309,20.864,31162.604,505.021,3902.324,63.241,0.312,2.257,44737.527,725.016,71.526,58.522
127,Lower-middle-income countries,1988,1.076,23.066,1125.567,2166.002,150.975,290.531,3.298,74.488,1212.299,2332.907,36.142,27.784
128,Spain,1988,-13.234,-27.819,4671.818,182.382,1103.29,43.071,-5.272,-7.048,3243.64,126.627,31.04,17.884
129,Malaysia,1988,-20.489,-0.779,177.636,3.024,15.098,0.257,2.299,0.013,32.927,0.561,1.328,1.478
130,Asia,1988,6.692,596.148,3061.44,9504.192,277.144,860.388,4.422,353.903,2692.134,8357.686,34.876,40.28
131,South Africa,1988,8.196,61.354,23074.254,809.927,4074.88,143.032,2.742,32.343,34521.758,1211.745,90.446,77.706
132,Australia,1988,5.187,20.403,25149.367,413.764,6442.763,105.998,-1.707,-20.374,71315.039,1173.293,73.931,42.946
133,Italy,1988,-6.268,-10.723,2812.338,160.354,594.494,33.897,6.886,0.521,141.921,8.092,16.652,9.033
134,South Korea,1988,6.444,17.717,6953.212,292.638,695.957,29.291,0.087,0.107,2953.961,124.322,31.458,33.764
135,South America,1988,-0.735,-1.467,696.723,198.197,44.235,12.584,12.225,21.472,692.94,197.121,2.951,5.929
136,Japan,1988,8.086,65.445,7078.329,874.772,907.863,112.198,-13.946,-11.845,591.389,73.087,14.886,17.97
137,Argentina,1988,2.475,0.333,434.885,13.772,50.081,1.586,37.265,0.913,106.214,3.364,3.021,2.547
138,India,1988,7.308,73.928,1296.236,1085.557,196.635,164.676,6.313,62.651,1259.91,1055.135,68.244,55.321
139,Indonesia,1988,4.455,1.175,157.392,27.54,43.3,7.576,48.185,10.006,175.855,30.77,30.541,5.604
140,Mexico,1988,-5.354,-2.022,442.519,35.751,99.776,8.061,-10.719,-4.347,448.141,36.205,7.182,3.121
141,Iran,1988,3.193,0.348,211.804,11.242,1.658,0.088,1.613,0.16,189.921,10.08,0.187,1.704
142,World,1988,2.993,754.703,5046.647,25967.129,816.338,4200.405,2.429,615.039,5040.657,25936.305,37.713,28.054
143,Iran,1989,-26.533,-2.983,150.654,8.259,1.167,0.064,-4.762,-0.48,175.12,9.6,0.124,1.146
144,United States,1989,1.186,62.212,21260.74,5309.355,6853.287,1711.443,3.002,173.326,23814.311,5947.048,54.238,23.547
145,South America,1989,8.247,16.344,739.947,214.542,52.592,15.249,17.595,34.684,799.486,231.805,3.482,6.325
146,Turkey,1989,12.69,19.783,3315.02,175.671,382.498,20.27,15.217,19.614,2802.502,148.512,38.947,33.939
147,European Union (27),1989,0.252,12.543,11930.728,4990.76,1966.389,822.563,-4.248,-182.762,9848.91,4119.912,36.584,28.401
148,Japan,1989,0.159,1.392,7062.507,876.164,942.027,116.866,-9.261,-6.768,534.571,66.318,14.613,17.4
149,South Korea,1989,-2.662,-7.79,6703.689,284.848,713.055,30.299,-14.447,-17.961,2503.13,106.361,29.239,30.232
150,Europe,1989,-2.001,-186.588,12705.922,9140.237,1867.252,1343.242,-4.18,-362.027,11535.613,8298.354,31.569,26.045
151,Malaysia,1989,360.385,10.897,794.178,13.921,123.852,2.171,21.903,0.123,38.98,0.683,10.091,6.079
152,Oceania,1989,5.004,21.363,16684.865,448.293,4226.555,113.56,8.707,103.577,48131.742,1293.214,62.126,38.325
153,Brazil,1989,-0.773,-0.976,856.235,125.291,37.236,5.449,-9.749,-4.17,263.814,38.603,2.457,8.073
154,Italy,1989,4.337,6.955,2933.771,167.309,558.789,31.867,3.269,0.265,146.534,8.357,15.121,9.17
155,Poland,1989,-4.447,-53.359,30307.572,1146.613,3691.727,139.668,-7.698,-113.635,36015.434,1362.556,96.015,78.026
156,Ukraine,1989,-8.814,-80.791,16254.304,835.834,2287.906,117.649,-5.999,-65.487,19955.51,1026.159,39.841,30.594
157,United Kingdom,1989,-3.743,-29.401,13269.081,755.996,3509.267,199.938,-3.824,-28.156,12427.671,708.058,63.556,30.377
158,China,1989,4.777,275.678,5220.239,6046.902,349.685,405.06,7.582,432.054,5292.125,6130.173,69.264,77.164
159,Argentina,1989,8.208,1.13,463.566,14.903,26.907,0.865,0.391,0.013,105.039,3.377,1.701,2.858
160,South Africa,1989,-6.673,-54.049,21037.504,755.879,4131.973,148.462,-2.987,-36.197,32717.684,1175.548,90.881,75.913
161,Upper-middle-income countries,1989,1.655,168.816,5267.392,10369.803,414.265,815.555,3.219,339.224,5525.486,10877.906,30.265,38.406
162,Vietnam,1989,-19.678,-7.385,452.965,30.145,40.962,2.726,-16.393,-6.513,499.104,33.215,35.021,42.051
163,Kazakhstan,1989,-4.555,-23.004,29522.965,482.017,3913.296,63.892,-3.5,-25.372,42852.363,699.644,71.262,56.742
164,Lower-middle-income countries,1989,0.836,18.102,1109.587,2184.105,159.482,313.923,2.095,48.865,1210.008,2381.772,36.732,27.184
165,India,1989,8.694,94.384,1379.508,1179.941,216.26,184.975,8.747,92.292,1341.495,1147.427,67.894,55.05
166,Spain,1989,23.275,42.449,5747.43,224.831,1524.136,59.622,6.98,8.839,3462.964,135.466,40.544,21.044
167,Asia,1989,4.069,386.748,3124.157,9890.94,295.734,936.28,6.168,515.541,2802.702,8873.227,35.43,40.003
168,Australia,1989,4.881,20.194,25963.781,433.958,6794.309,113.56,8.641,101.385,76264.141,1274.678,74.99,42.878
169,North America,1989,1.156,64.974,13479.781,5685.647,4293.823,1811.095,3.275,204.962,15323.419,6463.276,47.435,20.805
170,Canada,1989,-0.21,-0.7,12241.52,332.718,3375.228,91.737,6.456,28.946,17562.26,477.333,18.418,10.639
171,Taiwan,1989,4.306,5.251,6275.634,127.185,1308.846,26.526,-35.992,-3.509,307.892,6.24,31.556,23.178
172,Thailand,1989,21.798,5.865,587.592,32.771,141.102,7.87,28.036,6.722,550.439,30.699,21.068,10.882
173,World,1989,0.957,248.547,5005.44,26215.676,835.649,4376.661,1.766,458.158,5039.577,26394.463,37.545,27.784
174,Mexico,1989,10.693,3.823,480.44,39.573,96.095,7.915,7.432,2.691,472.208,38.895,6.593,3.271
175,Africa,1989,-6.127,-54.54,1362.028,835.621,256.247,157.211,-2.884,-36.481,2002.325,1228.45,51.267,33.018
176,Germany,1989,1.592,25.702,20850.383,1640.097,3980.458,313.104,-4.583,-73.488,19452.139,1530.111,55.924,38.498
177,Russia,1989,-3.305,-78.234,15584.954,2288.867,1045.877,153.602,-3.806,-88.514,15231.652,2236.98,14.269,22.318
178,Indonesia,1989,50.084,13.793,231.935,41.333,47.747,8.509,93.764,28.852,334.562,59.622,29.869,7.586
179,High-income countries,1989,0.579,74.571,12989.323,12943.05,2866.998,2856.785,0.496,60.464,12289.923,12246.141,37.35,23.402
180,United Kingdom,1990,-0.091,-0.686,13219.892,755.31,3613.201,206.438,-7.291,-51.626,11489.266,656.432,64.565,30.111
181,Kazakhstan,1990,-6.579,-31.71,27484.773,450.307,3792.996,62.144,-5.129,-35.886,40512.871,663.758,71.12,52.396
182,South Africa,1990,3.575,27.019,21274.1,782.898,4237.061,155.926,-0.92,-10.816,31649.895,1164.732,93.243,76.034
183,Lower-middle-income countries,1990,10.164,221.99,1195.7,2406.095,157.78,317.5,3.602,85.799,1226.25,2467.571,35.544,27.074
184,Japan,1990,3.598,31.526,7290.374,907.69,958.068,119.284,-18.94,-12.561,431.767,53.757,13.532,17.393
185,South America,1990,-16.158,-34.666,608.928,179.876,52.55,15.523,-2.502,-5.8,765.085,226.005,3.472,5.292
186,Canada,1990,-5.144,-17.115,11459.256,315.603,2985.332,82.22,-2.636,-12.583,16874.654,464.75,17.108,10.49
187,United States,1990,0.539,28.642,21172.422,5337.998,6842.586,1725.155,5.278,313.879,24833.092,6260.927,53.364,23.613
188,China,1990,1.449,87.615,5212.509,6134.517,374.932,441.251,2.436,149.347,5335.719,6279.52,71.032,77.278
189,Hungary,1990,-3.004,-2.218,6900.671,71.609,823.927,8.55,-9.539,-6.021,5501.933,57.094,30.068,22.159
190,Europe,1990,-5.647,-516.167,11950.866,8624.07,1877.897,1355.142,-6.705,-556.417,10728.443,7741.937,31.693,24.542
191,Portugal,1990,17.25,4.873,3347.25,33.122,915.581,9.06,-7.953,-0.098,114.56,1.134,31.789,16.689
192,Sweden,1990,4.502,1.484,4021.899,34.457,126.06,1.08,-45.0,-0.06,8.57,0.073,0.737,5.05
193,Mexico,1990,-0.84,-0.332,467.473,39.241,92.907,7.799,1.238,0.482,469.091,39.377,6.632,3.083
194,Taiwan,1990,-1.199,-1.525,6136.192,125.66,1238.577,25.364,-39.821,-2.485,183.367,3.755,28.122,21.496
195,India,1990,8.143,96.084,1461.19,1276.025,219.441,191.633,7.734,88.739,1415.548,1236.167,66.594,55.462
196,Spain,1990,-0.621,-1.396,5699.52,223.436,1547.426,60.663,-2.275,-3.082,3376.933,132.384,39.931,20.906
197,Malaysia,1990,10.703,1.49,854.754,15.411,162.619,2.932,2.31,0.016,38.772,0.699,12.739,6.395
198,North America,1990,0.193,10.979,13324.89,5696.626,4245.846,1815.174,4.669,301.778,15824.035,6765.055,46.807,20.842
199,Russia,1990,-7.368,-168.654,14371.252,2120.213,1063.194,156.855,-3.527,-78.904,14627.895,2158.076,14.494,21.042
200,Thailand,1990,38.386,12.58,801.847,45.351,195.424,11.053,35.528,10.907,735.634,41.606,25.056,12.68
201,Greece,1990,1.41,1.303,9165.527,93.727,2461.375,25.17,-0.038,-0.031,8095.857,82.788,71.908,32.622
202,Germany,1990,-6.732,-110.407,19349.951,1529.691,3942.875,311.7,-4.962,-75.929,18394.795,1454.182,56.683,36.485
203,Poland,1990,-20.438,-234.35,24032.096,912.263,3452.169,131.045,-14.682,-200.054,30624.234,1162.502,96.137,75.373
204,France,1990,-2.665,-6.048,3897.405,220.854,555.351,31.47,-12.626,-13.075,1596.791,90.485,7.479,8.309
205,Turkey,1990,6.177,10.851,3459.122,186.522,374.27,20.181,-8.198,-12.175,2528.406,136.336,35.072,33.189
206,European Union (27),1990,-8.904,-444.37,10837.104,4546.39,1987.395,833.753,-9.576,-394.514,8880.128,3725.397,36.664,25.995
207,Iran,1990,0.024,0.002,146.562,8.261,1.153,0.065,-8.333,-0.8,156.129,8.8,0.113,1.018
208,Norway,1990,-6.349,-0.64,2222.012,9.438,9.418,0.04,-10.619,-0.296,586.673,2.492,0.033,1.905
209,Romania,1990,-28.248,-57.502,6218.096,146.058,787.597,18.5,-41.021,-66.845,4091.605,96.108,28.767,19.866
210,South Korea,1990,-1.504,-4.283,6537.158,280.564,774.395,33.236,-15.284,-16.256,2099.452,90.105,28.056,26.318
211,Ireland,1990,-3.569,-1.49,11467.643,40.262,1686.186,5.92,-41.861,-0.144,57.026,0.2,40.826,34.402
212,Oceania,1990,2.227,9.983,16787.453,458.276,4519.008,123.363,4.548,58.811,49527.094,1352.025,65.525,37.583
213,Italy,1990,1.763,2.95,2984.475,170.259,623.928,35.594,-5.587,-0.467,138.3,7.89,16.411,9.179
214,Ukraine,1990,15.565,130.098,18769.414,965.932,2215.821,114.033,-1.616,-16.58,19617.543,1009.58,38.159,30.235
215,Czechia,1990,-18.745,-79.807,33454.074,345.944,4547.003,47.02,-10.909,-51.682,40814.574,422.059,75.16,63.274
216,Indonesia,1990,-3.738,-1.545,219.322,39.788,53.844,9.768,23.333,13.912,405.338,73.534,29.498,6.629
