,Country,Year,Annual percentage change in coal consumption,"Annual change in coal consumption, measured in terawatt-hours","Per capita primary energy consumption from coal, measured in kilowatt-hours","Primary energy consumption from coal, measured in terawatt-hours","Per capita electricity generation from coal, measured in kilowatt-hours","Electricity generation from coal, measured in terawatt-hours	",Annual percentage change in coal production,"Annual change in coal production, measured in terawatt-hours","Per capita coal production, measured in kilowatt-hours","Coal production, measured in terawatt-hours",Share of electricity generation that comes from coal,Share of primary energy consumption that comes from coal
36,Vietnam,1990,-14.236,-4.291,380.261,25.853,29.431,2.001,0.0,0.0,488.543,33.215,23.05,33.52
37,Brazil,1990,-10.911,-13.671,749.117,111.621,31.01,4.621,-49.174,-18.983,131.68,19.621,2.074,7.307
38,Iran,1990,0.024,0.002,146.562,8.261,1.153,0.065,-8.333,-0.8,156.129,8.8,0.113,1.018
39,Austria,1990,10.207,4.412,6167.897,47.641,801.403,6.19,18.49,1.296,1075.308,8.306,12.557,14.214
40,Italy,1990,1.763,2.95,2984.475,170.259,623.928,35.594,-5.587,-0.467,138.3,7.89,16.411,9.179
41,Belgium,1990,9.861,11.097,12355.086,123.632,1707.882,17.09,-47.915,-5.373,583.652,5.84,24.097,19.897
42,Taiwan,1990,-1.199,-1.525,6136.192,125.66,1238.577,25.364,-39.821,-2.485,183.367,3.755,28.122,21.496
43,Norway,1990,-6.349,-0.64,2222.012,9.438,9.418,0.04,-10.619,-0.296,586.673,2.492,0.033,1.905
44,Argentina,1990,-17.692,-2.637,376.047,12.266,20.234,0.66,-46.303,-1.564,55.589,1.813,1.294,2.391
45,Portugal,1990,17.25,4.873,3347.25,33.122,915.581,9.06,-7.953,-0.098,114.56,1.134,31.789,16.689
46,Malaysia,1990,10.703,1.49,854.754,15.411,162.619,2.932,2.31,0.016,38.772,0.699,12.739,6.395
47,Ireland,1990,-3.569,-1.49,11467.643,40.262,1686.186,5.92,-41.861,-0.144,57.026,0.2,40.826,34.402
48,Sweden,1990,4.502,1.484,4021.899,34.457,126.06,1.08,-45.0,-0.06,8.57,0.073,0.737,5.05
